process_id,department,process_name,monthly_volume,avg_minutes,manual_share,data_availability,process_complexity,annual_hours,automation_potential,recoverable_hours,estimated_annual_benefit,feasibility_score,implementation_success,success_probability,normalized_estimated_annual_benefit,priority_score
P0066,Operations,Contract review,705,32.2,0.611,2,3,4540.2,0.5055,2295.07,68852133.0,0.4,0,0.434,0.146,0.348
P0070,Procurement,Monthly reporting,202,22.9,0.955,2,3,925.16,0.6775,626.8,18803877.0,0.4,0,0.476,0.039,0.345
P0230,Human Resources,Account reconciliation,160,43.0,0.904,3,4,1376.0,0.672,924.67,27740160.0,0.44,0,0.468,0.058,0.345
P0282,Sales,Customer data entry,258,18.2,0.797,3,3,939.12,0.6585,618.41,18552316.0,0.52,0,0.476,0.039,0.345
P0219,Logistics,Account reconciliation,200,36.1,0.823,1,2,1444.0,0.5915,854.13,25623780.0,0.36,0,0.467,0.054,0.343
P0237,Procurement,Purchase order processing,393,89.4,0.564,3,4,7026.84,0.502,3527.47,105824210.0,0.44,0,0.393,0.225,0.343
P0054,Sales,Account reconciliation,187,19.8,0.796,3,2,740.52,0.698,516.88,15506489.0,0.6,0,0.476,0.032,0.343
P0231,Procurement,Customer data entry,284,19.7,0.79,3,3,1118.96,0.655,732.92,21987564.0,0.52,0,0.467,0.046,0.341
P0049,Procurement,Purchase order processing,441,38.3,0.584,3,3,3378.06,0.552,1864.69,55940674.0,0.52,0,0.434,0.119,0.339
P0252,Finance,Inventory update,701,41.9,0.357,1,3,5874.38,0.3185,1870.99,56129701.0,0.28,0,0.434,0.119,0.339
P0111,Logistics,Contract review,482,42.8,0.391,2,2,4125.92,0.4355,1796.84,53905145.0,0.48,0,0.434,0.114,0.338
P0108,Sales,Claims review,476,33.9,0.931,2,4,3227.28,0.6255,2018.66,60559909.0,0.32,0,0.426,0.129,0.337
P0293,Finance,Payment reconciliation,800,20.3,0.76,4,5,3248.0,0.62,2013.76,60412800.0,0.48,0,0.426,0.128,0.337
P0247,Finance,Inventory update,242,67.2,0.443,2,1,3252.48,0.5015,1631.12,48933562.0,0.56,0,0.434,0.104,0.335
P0084,Logistics,Ticket classification,628,6.3,0.534,5,3,791.28,0.647,511.96,15358745.0,0.76,0,0.463,0.032,0.334
P0115,IT,Invoice validation,233,16.5,0.543,5,3,768.9,0.6515,500.94,15028150.0,0.76,0,0.463,0.031,0.333
P0163,Logistics,Customer data entry,378,16.8,0.552,3,1,1270.08,0.616,782.37,23471078.0,0.68,0,0.455,0.049,0.333
P0023,Operations,Claims review,298,50.8,0.82,2,4,3027.68,0.57,1725.78,51773328.0,0.32,0,0.426,0.11,0.331
P0162,Finance,Claims review,1142,28.5,0.54,3,5,6509.4,0.45,2929.23,87876900.0,0.36,0,0.393,0.187,0.331
P0063,Human Resources,Purchase order processing,333,8.1,0.513,5,3,539.46,0.6365,343.37,10300989.0,0.76,0,0.463,0.021,0.33
P0013,Customer Service,Compliance reporting,273,40.4,0.702,2,1,2205.84,0.631,1391.89,41756551.0,0.56,0,0.434,0.088,0.33
P0072,Operations,Data consolidation,774,20.3,0.545,1,3,3142.44,0.4125,1296.26,38887695.0,0.28,0,0.434,0.082,0.328
P0002,Sales,Invoice validation,256,59.6,0.798,2,5,3051.52,0.519,1583.74,47512166.0,0.24,0,0.426,0.101,0.328
P0040,Customer Service,Customer data entry,302,32.1,0.741,3,3,1938.84,0.6305,1222.44,36673159.0,0.52,0,0.434,0.078,0.327
P0101,IT,Customer data entry,913,25.8,0.715,3,4,4711.08,0.5775,2720.65,81619461.0,0.44,0,0.393,0.174,0.327
P0135,IT,Customer onboarding,311,3.3,0.67,3,1,205.26,0.675,138.55,4156515.0,0.68,0,0.464,0.008,0.327
P0177,Customer Service,Email request processing,387,26.6,0.558,2,1,2058.84,0.559,1150.89,34526747.0,0.56,0,0.434,0.073,0.326
P0156,Operations,Account reconciliation,1133,14.9,0.674,2,1,3376.34,0.617,2083.2,62496053.0,0.56,0,0.408,0.133,0.325
P0152,Customer Service,Document classification,91,85.6,0.756,4,4,1557.92,0.658,1025.11,30753341.0,0.56,0,0.436,0.065,0.325
P0214,IT,Customer data entry,525,19.2,0.727,1,2,2016.0,0.5435,1095.7,32870880.0,0.36,0,0.434,0.069,0.324
P0184,Customer Service,Contract review,624,11.3,0.895,1,3,1410.24,0.5875,828.52,24855480.0,0.28,0,0.441,0.052,0.324
P0083,Human Resources,Document classification,257,37.2,0.569,2,1,1912.08,0.5645,1079.37,32381075.0,0.56,0,0.434,0.068,0.324
P0261,Finance,Payment reconciliation,170,45.5,0.419,5,4,1547.0,0.5495,850.08,25502295.0,0.68,0,0.44,0.054,0.324
P0068,Finance,Account reconciliation,654,21.3,0.831,1,5,2786.04,0.4755,1324.76,39742861.0,0.12,0,0.426,0.084,0.323
P0046,Sales,Contract review,248,11.5,0.8,2,1,570.4,0.68,387.87,11636160.0,0.56,0,0.45,0.024,0.322
P0260,Customer Service,Ticket classification,237,33.0,0.711,1,1,1564.2,0.5755,900.2,27005913.0,0.44,0,0.434,0.057,0.321
P0181,Human Resources,Invoice validation,724,43.3,0.646,1,5,6269.84,0.383,2401.35,72040462.0,0.12,0,0.393,0.153,0.321
P0216,Human Resources,Contract review,123,18.8,0.66,5,4,462.48,0.67,309.86,9295848.0,0.68,0,0.45,0.019,0.321
P0145,Logistics,Account reconciliation,302,4.2,0.766,3,2,253.68,0.683,173.26,5197903.0,0.6,0,0.45,0.01,0.318
P0015,Logistics,Compliance reporting,325,25.2,0.559,1,2,1638.0,0.4595,752.66,22579830.0,0.36,0,0.434,0.047,0.318
P0281,Sales,Data consolidation,228,5.3,0.893,1,1,241.68,0.6665,161.08,4832392.0,0.44,0,0.45,0.009,0.318
P0005,Customer Service,Monthly reporting,703,32.5,0.621,3,5,4569.5,0.4905,2241.34,67240192.0,0.36,0,0.393,0.143,0.318
P0061,Customer Service,Inventory update,238,53.7,0.254,1,2,2556.12,0.307,784.73,23541865.0,0.36,0,0.434,0.049,0.318
P0213,Human Resources,Inventory update,183,40.6,0.521,2,2,1485.96,0.5005,743.72,22311689.0,0.48,0,0.434,0.047,0.318
P0299,Human Resources,Payment reconciliation,378,2.6,0.785,2,1,196.56,0.6725,132.19,3965598.0,0.56,0,0.45,0.008,0.317
P0207,Logistics,Compliance reporting,304,19.6,0.725,2,2,1191.68,0.6025,717.99,21539616.0,0.48,0,0.434,0.045,0.317
P0131,Sales,Data consolidation,597,31.7,0.687,4,5,3784.98,0.5835,2208.54,66256075.0,0.48,0,0.393,0.141,0.317
P0285,Operations,Email request processing,132,34.8,0.88,3,4,918.72,0.66,606.36,18190656.0,0.44,0,0.435,0.038,0.316
P0298,IT,Account reconciliation,144,30.7,0.817,4,4,884.16,0.6885,608.74,18262325.0,0.56,0,0.435,0.038,0.316
P0082,Sales,Customer data entry,1361,11.5,0.694,1,3,3130.3,0.487,1524.46,45733683.0,0.28,0,0.408,0.097,0.315
P0201,IT,Monthly reporting,172,29.0,0.924,1,3,997.6,0.602,600.56,18016656.0,0.28,0,0.433,0.038,0.314
P0225,Operations,Document classification,151,29.1,0.785,3,3,878.82,0.6525,573.43,17202902.0,0.52,0,0.433,0.036,0.314
P0249,Finance,Claims review,1008,14.2,0.328,3,2,2862.72,0.464,1328.3,39849062.0,0.6,0,0.408,0.084,0.311
P0099,Procurement,Data consolidation,191,38.4,0.828,1,5,1466.88,0.474,695.3,20859034.0,0.12,0,0.426,0.044,0.311
P0119,Logistics,Ticket classification,302,18.9,0.851,3,5,1141.56,0.6055,691.21,20736437.0,0.36,0,0.426,0.043,0.311
P0094,Procurement,Claims review,980,15.6,0.894,1,5,3057.6,0.507,1550.2,46506096.0,0.12,0,0.4,0.099,0.31
P0203,IT,Invoice validation,104,20.3,0.806,1,2,422.24,0.583,246.17,7384978.0,0.36,0,0.433,0.015,0.308
P0125,Human Resources,Account reconciliation,754,24.7,0.691,1,4,3724.76,0.4455,1659.38,49781417.0,0.2,0,0.393,0.106,0.307
P0116,Sales,Data consolidation,1462,8.9,0.797,2,5,2602.36,0.5185,1349.32,40479710.0,0.24,0,0.4,0.086,0.306
P0227,Human Resources,Ticket classification,1117,12.3,0.389,1,2,2747.82,0.3745,1029.06,30871758.0,0.36,0,0.408,0.065,0.305
P0271,Procurement,Data consolidation,504,29.7,0.435,4,4,2993.76,0.4975,1489.4,44681868.0,0.56,0,0.393,0.095,0.304
P0161,IT,Payment reconciliation,362,8.1,0.624,3,1,586.44,0.652,382.36,11470766.0,0.68,0,0.422,0.024,0.303
P0103,Operations,Customer onboarding,489,11.7,0.559,5,4,1144.26,0.6195,708.87,21266072.0,0.68,0,0.414,0.045,0.303
P0210,Human Resources,Customer onboarding,865,18.9,0.462,3,4,3269.7,0.451,1474.63,44239041.0,0.44,0,0.393,0.094,0.303
P0067,Sales,Document classification,272,17.0,0.715,3,2,924.8,0.6575,608.06,18241680.0,0.6,0,0.417,0.038,0.303
P0118,Procurement,Document classification,1412,7.0,0.337,3,2,1976.8,0.4685,926.13,27783924.0,0.6,0,0.408,0.059,0.303
P0104,Sales,Monthly reporting,354,33.2,0.603,5,5,2350.56,0.6015,1413.86,42415855.0,0.6,0,0.393,0.09,0.302
