project_id,department,process_name,monthly_volume,avg_minutes,manual_share,data_availability,process_complexity,implementation_success,annual_hours,automation_potential,recoverable_hours,estimated_annual_benefit,feasibility_score
H0039,Customer Service,Ticket classification,419,28.5,0.531,5,2,1,2388.3,0.6855,1637.18,49115390.0,0.84
H0040,IT,Inventory update,320,19.6,0.697,3,1,1,1254.4,0.6885,863.65,25909632.0,0.68
H0041,Customer Service,Payment reconciliation,218,38.7,0.644,3,3,0,1687.32,0.582,982.02,29460607.0,0.52
H0042,Customer Service,Compliance reporting,280,14.7,0.758,4,4,1,823.2,0.659,542.49,16274664.0,0.56
H0043,Sales,Ticket classification,413,12.6,0.615,3,5,0,1040.76,0.4875,507.37,15221115.0,0.36
H0044,Finance,Account reconciliation,194,14.0,0.469,1,5,0,543.2,0.2945,159.97,4799172.0,0.12
H0045,Procurement,Account reconciliation,322,22.4,0.94,3,1,1,1442.56,0.81,1168.47,35054208.0,0.68
H0046,Human Resources,Contract review,186,28.7,0.695,4,5,0,1067.64,0.5875,627.24,18817155.0,0.48
H0047,IT,Customer data entry,156,17.5,0.904,3,3,1,546.0,0.712,388.75,11662560.0,0.52
H0048,Procurement,Monthly reporting,513,37.0,0.53,5,1,1,3796.2,0.725,2752.24,82567350.0,0.92
H0049,Sales,Invoice validation,216,35.1,0.9,5,3,1,1516.32,0.83,1258.55,37756368.0,0.76
H0050,Sales,Account reconciliation,1033,25.3,0.768,5,1,1,5226.98,0.844,4411.57,132347134.0,0.92
H0051,Operations,Monthly reporting,562,21.1,0.68,2,5,0,2371.64,0.46,1090.95,32728632.0,0.24
H0052,Customer Service,Ticket classification,322,10.8,0.812,5,1,1,695.52,0.866,602.32,18069610.0,0.92
H0053,IT,Data consolidation,288,13.8,0.626,5,2,1,794.88,0.733,582.65,17479411.0,0.84
H0054,Human Resources,Customer onboarding,415,10.0,0.916,2,4,1,830.0,0.618,512.94,15388200.0,0.32
H0055,Logistics,Purchase order processing,229,21.6,0.812,5,5,1,989.28,0.706,698.43,20952950.0,0.6
H0056,Finance,Claims review,429,21.7,0.636,4,4,1,1861.86,0.598,1113.39,33401768.0,0.56
H0057,Logistics,Inventory update,307,7.2,0.723,5,5,0,442.08,0.6615,292.44,8773078.0,0.6
H0058,Customer Service,Document classification,568,16.8,0.755,5,4,0,1908.48,0.7175,1369.33,41080032.0,0.68
H0059,Procurement,Data consolidation,323,23.9,0.706,2,2,1,1543.94,0.593,915.56,27466693.0,0.48
H0060,Customer Service,Monthly reporting,265,28.1,0.946,4,4,1,1489.3,0.753,1121.44,33643287.0,0.56
H0061,Finance,Inventory update,102,25.4,0.908,3,1,1,518.16,0.794,411.42,12342571.0,0.68
H0062,Procurement,Ticket classification,144,62.2,0.939,1,4,0,1791.36,0.5695,1020.18,30605386.0,0.2
H0063,Sales,Email request processing,429,32.7,0.791,4,5,1,2805.66,0.6355,1783.0,53489908.0,0.48
H0064,Human Resources,Inventory update,379,11.9,0.715,3,3,0,902.02,0.6175,557.0,16709920.0,0.52
H0065,Sales,Claims review,554,7.9,0.436,4,4,0,875.32,0.498,435.91,13077281.0,0.56
H0066,Procurement,Purchase order processing,407,28.4,0.584,3,4,0,2311.76,0.512,1183.62,35508634.0,0.44
H0067,Customer Service,Compliance reporting,334,12.0,0.757,3,4,0,801.6,0.5985,479.76,14392728.0,0.44
H0068,Operations,Inventory update,360,16.4,0.826,4,5,1,1180.8,0.653,771.06,23131872.0,0.48
H0069,Sales,Ticket classification,619,23.4,0.66,2,4,0,2896.92,0.49,1419.49,42584724.0,0.32
H0070,Finance,Inventory update,265,15.0,0.827,4,5,0,795.0,0.6535,519.53,15585975.0,0.48
H0071,IT,Inventory update,424,49.3,0.692,4,5,0,4180.64,0.586,2449.86,73495651.0,0.48
H0072,Customer Service,Email request processing,277,18.8,0.687,3,3,1,1041.52,0.6035,628.56,18856720.0,0.52
H0073,IT,Account reconciliation,284,15.7,0.539,1,1,0,891.76,0.4895,436.52,13095496.0,0.44
H0074,Logistics,Compliance reporting,753,21.2,0.906,3,5,0,3192.72,0.633,2020.99,60629753.0,0.36
H0075,IT,Inventory update,595,11.4,0.68,5,2,1,1356.6,0.76,1031.02,30930480.0,0.84
H0076,IT,Claims review,424,18.1,0.76,4,4,1,1534.88,0.66,1013.02,30390624.0,0.56
H0077,Sales,Purchase order processing,294,17.4,0.525,4,2,1,1023.12,0.6225,636.89,19106766.0,0.72
H0078,Human Resources,Customer data entry,218,43.0,0.717,2,4,0,1874.8,0.5185,972.08,29162514.0,0.32
H0079,Human Resources,Purchase order processing,162,11.5,0.497,3,3,0,372.6,0.5085,189.47,5684013.0,0.52
H0080,IT,Compliance reporting,273,31.7,0.867,2,5,1,1730.82,0.5535,958.01,28740266.0,0.24
H0081,IT,Customer data entry,589,24.0,0.841,4,1,1,2827.2,0.8205,2319.72,69591528.0,0.8
H0082,Logistics,Customer data entry,270,7.7,0.592,3,5,0,415.8,0.476,197.92,5937624.0,0.36
H0083,Finance,Purchase order processing,405,12.8,0.569,3,4,0,1036.8,0.5045,523.07,15691968.0,0.44
H0084,Finance,Payment reconciliation,252,9.8,0.997,5,1,1,493.92,0.9585,473.42,14202670.0,0.92
H0085,Procurement,Customer data entry,89,24.6,0.651,5,5,0,437.88,0.6255,273.89,8216818.0,0.6
H0086,Customer Service,Email request processing,188,7.1,0.809,1,1,1,266.96,0.6245,166.72,5001496.0,0.44
H0087,Operations,Contract review,160,18.0,0.868,5,4,1,576.0,0.774,445.82,13374720.0,0.68
H0088,IT,Customer onboarding,486,15.6,0.618,3,3,1,1516.32,0.569,862.79,25883582.0,0.52
H0089,IT,Monthly reporting,323,35.6,0.93,5,3,0,2299.76,0.845,1943.3,58298916.0,0.76
H0090,Logistics,Claims review,178,14.7,0.592,1,5,0,523.32,0.356,186.3,5589058.0,0.12
H0091,Sales,Customer data entry,395,21.1,0.686,4,2,1,1666.9,0.703,1171.83,35154921.0,0.72
H0092,IT,Ticket classification,367,21.2,0.75,5,4,0,1556.08,0.715,1112.6,33377916.0,0.68
H0093,IT,Customer data entry,1074,37.1,0.652,3,5,0,7969.08,0.506,4032.35,120970634.0,0.36
H0094,Human Resources,Contract review,362,28.7,0.934,4,5,0,2077.88,0.707,1469.06,44071835.0,0.48
H0095,Finance,Payment reconciliation,517,22.1,0.47,3,3,0,2285.14,0.495,1131.14,33934329.0,0.52
H0096,Procurement,Data consolidation,742,18.5,0.714,4,1,1,2745.4,0.757,2078.27,62348034.0,0.8
H0097,Human Resources,Email request processing,315,8.4,0.943,3,4,0,529.2,0.6915,365.94,10978254.0,0.44
H0098,IT,Customer data entry,245,17.1,0.607,5,1,0,837.9,0.7635,639.74,19192100.0,0.92
H0099,Procurement,Account reconciliation,286,48.4,0.849,5,4,1,2768.48,0.7645,2116.5,63495089.0,0.68
H0100,Human Resources,Ticket classification,162,11.7,0.412,1,2,0,379.08,0.386,146.32,4389746.0,0.36
H0101,IT,Customer data entry,303,17.1,0.498,4,3,0,1036.26,0.569,589.63,17688958.0,0.64
H0102,Sales,Data consolidation,200,15.4,0.795,1,2,1,616.0,0.5775,355.74,10672200.0,0.36
H0103,IT,Account reconciliation,277,39.6,0.545,2,5,0,2193.84,0.3925,861.08,25832466.0,0.24
H0104,Customer Service,Monthly reporting,243,17.5,0.718,5,3,1,850.5,0.739,628.52,18855585.0,0.76
H0105,Human Resources,Customer onboarding,589,25.5,0.687,4,5,0,3003.9,0.5835,1752.78,52583270.0,0.48
H0106,Finance,Claims review,197,25.7,0.947,1,2,0,1012.58,0.6535,661.72,19851631.0,0.36
H0107,Procurement,Invoice validation,186,15.8,0.69,1,4,0,587.76,0.445,261.55,7846596.0,0.2
H0108,Logistics,Compliance reporting,117,21.4,0.729,2,5,1,500.76,0.4845,242.62,7278547.0,0.24
H0109,Logistics,Compliance reporting,270,18.8,0.828,1,1,0,1015.2,0.634,643.64,19309104.0,0.44
H0110,IT,Customer data entry,444,11.8,0.656,3,4,0,1047.84,0.548,574.22,17226490.0,0.44
H0111,Finance,Payment reconciliation,350,8.7,0.819,5,4,0,609.0,0.7495,456.45,13693365.0,0.68
H0112,Human Resources,Purchase order processing,241,43.6,0.952,1,2,1,2101.52,0.656,1378.6,41357914.0,0.36
H0113,Procurement,Customer data entry,292,54.1,0.573,1,2,1,3159.44,0.4665,1473.88,44216363.0,0.36
H0114,Operations,Contract review,642,31.8,0.755,2,3,0,4083.12,0.5775,2358.0,70740054.0,0.4
H0115,Procurement,Invoice validation,404,18.6,0.587,3,3,0,1502.88,0.5535,831.84,24955322.0,0.52
H0116,Procurement,Document classification,236,37.8,0.312,1,1,1,1784.16,0.376,670.84,20125325.0,0.44
H0117,Customer Service,Contract review,594,16.3,0.652,5,4,1,1936.44,0.666,1289.67,38690071.0,0.68
H0118,Procurement,Customer data entry,280,9.7,0.898,5,1,1,543.2,0.909,493.77,14813064.0,0.92
H0119,Procurement,Purchase order processing,229,21.8,0.772,1,1,0,998.44,0.606,605.05,18151639.0,0.44
H0120,Sales,Data consolidation,410,18.7,0.437,3,2,1,1533.4,0.5185,795.07,23852037.0,0.6
H0121,Logistics,Payment reconciliation,481,27.7,0.876,5,1,1,2664.74,0.898,2392.94,71788096.0,0.92
H0122,Logistics,Account reconciliation,470,24.4,0.918,5,1,1,2293.6,0.919,2107.82,63234552.0,0.92
H0123,Human Resources,Compliance reporting,475,34.1,0.644,3,5,0,3239.5,0.502,1626.23,48786870.0,0.36
H0124,Customer Service,Compliance reporting,380,55.7,0.445,3,3,1,4233.2,0.4825,2042.52,61275570.0,0.52
H0125,Sales,Data consolidation,562,33.7,0.626,1,3,0,3787.88,0.453,1715.91,51477289.0,0.28
H0126,Operations,Claims review,160,15.9,0.854,4,4,1,508.8,0.707,359.72,10791648.0,0.56
H0127,Sales,Email request processing,1054,14.9,0.614,2,3,0,3140.92,0.507,1592.45,47773393.0,0.4
H0128,Customer Service,Ticket classification,496,27.7,0.809,4,4,1,2747.84,0.6845,1880.9,56426894.0,0.56
H0129,IT,Ticket classification,600,19.6,0.882,4,5,0,2352.0,0.681,1601.71,48051360.0,0.48
H0130,Operations,Contract review,477,12.6,0.815,5,3,0,1202.04,0.7875,946.61,28398195.0,0.76
H0131,Procurement,Data consolidation,543,17.6,0.764,3,5,1,1911.36,0.562,1074.18,32225530.0,0.36
H0132,Sales,Document classification,392,18.6,0.844,5,3,1,1458.24,0.802,1169.51,35085254.0,0.76
H0133,IT,Customer data entry,217,24.8,0.469,2,3,0,1076.32,0.4345,467.66,14029831.0,0.4
H0134,Human Resources,Claims review,634,15.1,0.403,1,5,0,1914.68,0.2615,500.69,15020665.0,0.12
H0135,IT,Ticket classification,390,23.5,0.669,2,1,0,1833.0,0.6145,1126.38,33791355.0,0.56
H0136,Operations,Contract review,265,12.0,0.733,5,1,0,636.0,0.8265,525.65,15769620.0,0.92
H0137,Sales,Claims review,279,13.9,0.771,5,1,1,775.62,0.8455,655.79,19673601.0,0.92
H0138,Logistics,Purchase order processing,283,33.1,0.828,5,1,1,1873.46,0.874,1637.4,49122121.0,0.92
H0139,Customer Service,Customer data entry,294,25.4,0.713,5,3,1,1493.52,0.7365,1099.98,32999324.0,0.76
H0140,Finance,Claims review,278,40.4,0.46,4,2,0,2246.24,0.59,1325.28,39758448.0,0.72
H0141,Procurement,Customer data entry,209,12.1,0.839,1,5,0,505.78,0.4795,242.52,7275645.0,0.12
H0142,Procurement,Ticket classification,567,20.5,0.611,4,2,1,2324.7,0.6655,1547.09,46412636.0,0.72
H0143,Operations,Document classification,310,16.2,0.651,5,2,0,1004.4,0.7455,748.78,22463406.0,0.84
H0144,Procurement,Invoice validation,305,21.6,0.418,3,4,1,1317.6,0.429,565.25,16957512.0,0.44
H0145,Logistics,Purchase order processing,307,20.9,0.558,4,1,1,1283.26,0.679,871.33,26140006.0,0.8
H0146,Sales,Data consolidation,827,22.3,0.561,5,3,1,3688.42,0.6605,2436.2,73086042.0,0.76
H0147,Sales,Email request processing,303,19.6,0.485,5,1,1,1187.76,0.7025,834.4,25032042.0,0.92
H0148,Logistics,Invoice validation,765,48.4,0.498,1,1,1,7405.2,0.469,3473.04,104191164.0,0.44
H0149,Sales,Email request processing,57,21.4,0.851,2,2,0,243.96,0.6655,162.36,4870661.0,0.48
H0150,Finance,Claims review,106,24.3,0.754,4,4,1,515.16,0.657,338.46,10153804.0,0.56
H0151,Operations,Contract review,705,22.4,0.609,4,1,1,3158.4,0.7045,2225.09,66752784.0,0.8
H0152,Operations,Document classification,637,29.5,0.611,4,5,0,3758.3,0.5455,2050.15,61504580.0,0.48
H0153,Sales,Account reconciliation,500,11.1,0.83,5,5,1,1110.0,0.715,793.65,23809500.0,0.6
H0154,Human Resources,Email request processing,497,19.6,0.57,1,1,0,1948.24,0.505,983.86,29515836.0,0.44
H0155,Customer Service,Document classification,346,25.4,0.77,5,2,1,1757.68,0.805,1414.93,42447972.0,0.84
H0156,Sales,Data consolidation,193,27.0,0.871,5,2,1,1042.2,0.8555,891.6,26748063.0,0.84
H0157,Procurement,Document classification,422,15.4,0.92,3,3,1,1299.76,0.72,935.83,28074816.0,0.52
H0158,Sales,Email request processing,433,16.5,0.547,1,4,0,1428.9,0.3735,533.69,16010825.0,0.2
H0159,Customer Service,Purchase order processing,412,6.0,0.597,4,2,0,494.4,0.6585,325.56,9766872.0,0.72
H0160,Logistics,Invoice validation,296,16.3,0.8,2,3,0,964.96,0.6,578.98,17369280.0,0.4
